# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues read from Fe.EIG
# Kpoint weights read from Fe.KP
# Using smearing parameter:   0.2000
# Using 1000 points in the energy range
# Selected bands: 1 to: 38
# Emin, Emax in file for selected band(s):    -91.7901190    229.3201370
# Nbands, Nspin, Nk   =     38     2 63800
# E_F                 =    -4.2944 eV --> (shifted to ZERO)
# Broadening          =     0.2000 eV
#
#        E            N(up)        N(down)         Ntot
    -79.381815      0.000000      0.000000      0.000000
    -79.278722      0.000000      0.000000      0.000000
    -79.175629      0.000000      0.000000      0.000000
    -79.072535      0.000000      0.000000      0.000000
    -78.969442      0.000000      0.000000      0.000000
    -78.866349      0.000000      0.000000      0.000000
    -78.763256      0.000000      0.000000      0.000000
    -78.660163      0.000000      0.000000      0.000000
    -78.557069      0.000000      0.000000      0.000000
    -78.453976      0.000000      0.000000      0.000000
    -78.350883      0.000000      0.000000      0.000000
    -78.247790      0.000000      0.000000      0.000000
    -78.144696      0.000000      0.000000      0.000000
    -78.041603      0.000000      0.000000      0.000000
    -77.938510      0.000000      0.000000      0.000000
    -77.835417      0.000000      0.000000      0.000000
    -77.732324      0.000000      0.000000      0.000000
    -77.629230      0.000000      0.000000      0.000000
    -77.526137      0.000000      0.000000      0.000000
    -77.423044      0.000000      0.000000      0.000000
    -77.319951      0.000000      0.000000      0.000000
    -77.216858      0.000000      0.000000      0.000000
    -77.113764      0.000000      0.000000      0.000000
    -77.010671      0.000000      0.000000      0.000000
    -76.907578      0.000000      0.000000      0.000000
    -76.804485      0.000000      0.000000      0.000000
    -76.701391      0.000000      0.000000      0.000000
    -76.598298      0.000000      0.000000      0.000000
    -76.495205      0.000000      0.000000      0.000000
    -76.392112      0.000000      0.000000      0.000000
    -76.289019      0.000000      0.000000      0.000000
    -76.185925      0.000000      0.000000      0.000000
    -76.082832      0.000000      0.000000      0.000000
    -75.979739      0.000000      0.000000      0.000000
    -75.876646      0.000000      0.000000      0.000000
    -75.773553      0.000000      0.000000      0.000000
    -75.670459      0.000000      0.000000      0.000000
    -75.567366      0.000000      0.000000      0.000000
    -75.464273      0.000000      0.000000      0.000000
    -75.361180      0.000000      0.000000      0.000000
    -75.258086      0.000000      0.000000      0.000000
    -75.154993      0.000000      0.000000      0.000000
    -75.051900      0.000000      0.000000      0.000000
    -74.948807      0.000000      0.000000      0.000000
    -74.845714      0.000000      0.000000      0.000000
    -74.742620      0.000000      0.000000      0.000000
    -74.639527      0.000000      0.000000      0.000000
    -74.536434      0.000000      0.000000      0.000000
    -74.433341      0.000000      0.000000      0.000000
    -74.330248      0.000000      0.000000      0.000000
    -74.227154      0.000000      0.000000      0.000000
    -74.124061      0.000000      0.000000      0.000000
    -74.020968      0.000000      0.000000      0.000000
    -73.917875      0.000000      0.000000      0.000000
    -73.814782      0.000000      0.000000      0.000000
    -73.711688      0.000000      0.000000      0.000000
    -73.608595      0.000000      0.000000      0.000000
    -73.505502      0.000000      0.000000      0.000000
    -73.402409      0.000000      0.000000      0.000000
    -73.299315      0.000000      0.000000      0.000000
    -73.196222      0.000000      0.000000      0.000000
    -73.093129      0.000000      0.000000      0.000000
    -72.990036      0.000000      0.000000      0.000000
    -72.886943      0.000000      0.000000      0.000000
    -72.783849      0.000000      0.000000      0.000000
    -72.680756      0.000000      0.000000      0.000000
    -72.577663      0.000000      0.000000      0.000000
    -72.474570      0.000000      0.000000      0.000000
    -72.371477      0.000000      0.000000      0.000000
    -72.268383      0.000000      0.000000      0.000000
    -72.165290      0.000000      0.000000      0.000000
    -72.062197      0.000000      0.000000      0.000000
    -71.959104      0.000000      0.000000      0.000000
    -71.856010      0.000000      0.000000      0.000000
    -71.752917      0.000000      0.000000      0.000000
    -71.649824      0.000000      0.000000      0.000000
    -71.546731      0.000000      0.000000      0.000000
    -71.443638      0.000000      0.000000      0.000000
    -71.340544      0.000000      0.000000      0.000000
    -71.237451      0.000000      0.000000      0.000000
    -71.134358      0.000000      0.000000      0.000000
    -71.031265      0.000000      0.000000      0.000000
    -70.928172      0.000000      0.000000      0.000000
    -70.825078      0.000000      0.000000      0.000000
    -70.721985      0.000000      0.000000      0.000000
    -70.618892      0.000000      0.000000      0.000000
    -70.515799      0.000000      0.000000      0.000000
    -70.412706      0.000000      0.000000      0.000000
    -70.309612      0.000000      0.000000      0.000000
    -70.206519      0.000000      0.000000      0.000000
    -70.103426      0.000000      0.000000      0.000000
    -70.000333      0.000000      0.000000      0.000000
    -69.897239      0.000000      0.000000      0.000000
    -69.794146      0.000000      0.000000      0.000000
    -69.691053      0.000000      0.000000      0.000000
    -69.587960      0.000000      0.000000      0.000000
    -69.484867      0.000000      0.000000      0.000000
    -69.381773      0.000000      0.000000      0.000000
    -69.278680      0.000000      0.000000      0.000000
    -69.175587      0.000000      0.000000      0.000000
    -69.072494      0.000000      0.000000      0.000000
    -68.969401      0.000000      0.000000      0.000000
    -68.866307      0.000000      0.000000      0.000000
    -68.763214      0.000000      0.000000      0.000000
    -68.660121      0.000000      0.000000      0.000000
    -68.557028      0.000000      0.000000      0.000000
    -68.453934      0.000000      0.000000      0.000000
    -68.350841      0.000000      0.000000      0.000000
    -68.247748      0.000000      0.000000      0.000000
    -68.144655      0.000000      0.000000      0.000000
    -68.041562      0.000000      0.000000      0.000000
    -67.938468      0.000000      0.000000      0.000000
    -67.835375      0.000000      0.000000      0.000000
    -67.732282      0.000000      0.000000      0.000000
    -67.629189      0.000000      0.000000      0.000000
    -67.526096      0.000000      0.000000      0.000000
    -67.423002      0.000000      0.000000      0.000000
    -67.319909      0.000000      0.000000      0.000000
    -67.216816      0.000000      0.000000      0.000000
    -67.113723      0.000000      0.000000      0.000000
    -67.010630      0.000000      0.000000      0.000000
    -66.907536      0.000000      0.000000      0.000000
    -66.804443      0.000000      0.000000      0.000000
    -66.701350      0.000000      0.000000      0.000000
    -66.598257      0.000000      0.000000      0.000000
    -66.495163      0.000000      0.000000      0.000000
    -66.392070      0.000000      0.000000      0.000000
    -66.288977      0.000000      0.000000      0.000000
    -66.185884      0.000000      0.000000      0.000000
    -66.082791      0.000000      0.000000      0.000000
    -65.979697      0.000000      0.000000      0.000000
    -65.876604      0.000000      0.000000      0.000000
    -65.773511      0.000000      0.000000      0.000000
    -65.670418      0.000000      0.000000      0.000000
    -65.567325      0.000000      0.000000      0.000000
    -65.464231      0.000000      0.000000      0.000000
    -65.361138      0.000000      0.000000      0.000000
    -65.258045      0.000000      0.000000      0.000000
    -65.154952      0.000000      0.000000      0.000000
    -65.051858      0.000000      0.000000      0.000000
    -64.948765      0.000000      0.000000      0.000000
    -64.845672      0.000000      0.000000      0.000000
    -64.742579      0.000000      0.000000      0.000000
    -64.639486      0.000000      0.000000      0.000000
    -64.536392      0.000000      0.000000      0.000000
    -64.433299      0.000000      0.000000      0.000000
    -64.330206      0.000000      0.000000      0.000000
    -64.227113      0.000000      0.000000      0.000000
    -64.124020      0.000000      0.000000      0.000000
    -64.020926      0.000000      0.000000      0.000000
    -63.917833      0.000000      0.000000      0.000000
    -63.814740      0.000000      0.000000      0.000000
    -63.711647      0.000000      0.000000      0.000000
    -63.608554      0.000000      0.000000      0.000000
    -63.505460      0.000000      0.000000      0.000000
    -63.402367      0.000000      0.000000      0.000000
    -63.299274      0.000000      0.000000      0.000000
    -63.196181      0.000000      0.000000      0.000000
    -63.093087      0.000000      0.000000      0.000000
    -62.989994      0.000000      0.000000      0.000000
    -62.886901      0.000000      0.000000      0.000000
    -62.783808      0.000000      0.000000      0.000000
    -62.680715      0.000000      0.000000      0.000000
    -62.577621      0.000000      0.000000      0.000000
    -62.474528      0.000000      0.000000      0.000000
    -62.371435      0.000000      0.000000      0.000000
    -62.268342      0.000000      0.000000      0.000000
    -62.165249      0.000000      0.000000      0.000000
    -62.062155      0.000000      0.000000      0.000000
    -61.959062      0.000000      0.000000      0.000000
    -61.855969      0.000000      0.000000      0.000000
    -61.752876      0.000000      0.000000      0.000000
    -61.649782      0.000000      0.000000      0.000000
    -61.546689      0.000000      0.000000      0.000000
    -61.443596      0.000000      0.000000      0.000000
    -61.340503      0.000000      0.000000      0.000000
    -61.237410      0.000000      0.000000      0.000000
    -61.134316      0.000000      0.000000      0.000000
    -61.031223      0.000000      0.000000      0.000000
    -60.928130      0.000000      0.000000      0.000000
    -60.825037      0.000000      0.000000      0.000000
    -60.721944      0.000000      0.000000      0.000000
    -60.618850      0.000000      0.000000      0.000000
    -60.515757      0.000000      0.000000      0.000000
    -60.412664      0.000000      0.000000      0.000000
    -60.309571      0.000000      0.000000      0.000000
    -60.206478      0.000000      0.000000      0.000000
    -60.103384      0.000000      0.000000      0.000000
    -60.000291      0.000000      0.000000      0.000000
    -59.897198      0.000000      0.000000      0.000000
    -59.794105      0.000000      0.000000      0.000000
    -59.691011      0.000000      0.000000      0.000000
    -59.587918      0.000000      0.000000      0.000000
    -59.484825      0.000000      0.000000      0.000000
    -59.381732      0.000000      0.000000      0.000000
    -59.278639      0.000000      0.000000      0.000000
    -59.175545      0.000000      0.000000      0.000000
    -59.072452      0.000000      0.000000      0.000000
    -58.969359      0.000000      0.000000      0.000000
    -58.866266      0.000000      0.000000      0.000000
    -58.763173      0.000000      0.000000      0.000000
    -58.660079      0.000000      0.000000      0.000000
    -58.556986      0.000000      0.000000      0.000000
    -58.453893      0.000000      0.000000      0.000000
    -58.350800      0.000000      0.000000      0.000000
    -58.247706      0.000000      0.000000      0.000000
    -58.144613      0.000000      0.000000      0.000000
    -58.041520      0.000000      0.000000      0.000000
    -57.938427      0.000000      0.000000      0.000000
    -57.835334      0.000000      0.000000      0.000000
    -57.732240      0.000000      0.000000      0.000000
    -57.629147      0.000000      0.000000      0.000000
    -57.526054      0.000000      0.000000      0.000000
    -57.422961      0.000000      0.000000      0.000000
    -57.319868      0.000000      0.000000      0.000000
    -57.216774      0.000000      0.000000      0.000000
    -57.113681      0.000000      0.000000      0.000000
    -57.010588      0.000000      0.000000      0.000000
    -56.907495      0.000000      0.000000      0.000000
    -56.804402      0.000000      0.000000      0.000000
    -56.701308      0.000000      0.000000      0.000000
    -56.598215      0.000000      0.000000      0.000000
    -56.495122      0.000000      0.000000      0.000000
    -56.392029      0.000000      0.000000      0.000000
    -56.288935      0.000000      0.000000      0.000000
    -56.185842      0.000000      0.000000      0.000000
    -56.082749      0.000000      0.000000      0.000000
    -55.979656      0.000000      0.000000      0.000000
    -55.876563      0.000000      0.000000      0.000000
    -55.773469      0.000000      0.000000      0.000000
    -55.670376      0.000000      0.000000      0.000000
    -55.567283      0.000000      0.000000      0.000000
    -55.464190      0.000000      0.000000      0.000000
    -55.361097      0.000000      0.000000      0.000000
    -55.258003      0.000000      0.000000      0.000000
    -55.154910      0.000000      0.000000      0.000000
    -55.051817      0.000000      0.000000      0.000000
    -54.948724      0.000000      0.000000      0.000000
    -54.845630      0.000000      0.000000      0.000000
    -54.742537      0.000000      0.000000      0.000000
    -54.639444      0.000001      0.000000      0.000001
    -54.536351      0.000056      0.000000      0.000056
    -54.433258      0.001299      0.000000      0.001299
    -54.330164      0.018317      0.000000      0.018317
    -54.227071      0.157808      0.000000      0.157808
    -54.123978      0.842852      0.000000      0.842852
    -54.020885      2.864187      0.000000      2.864187
    -53.917792      6.482394      0.000000      6.482394
    -53.814698     10.450116      0.000000     10.450116
    -53.711605     12.758581      0.000000     12.758581
    -53.608512     11.859921      0.000000     11.859921
    -53.505419      7.942541      0.000000      7.942541
    -53.402326      3.580405      0.000000      3.580405
    -53.299232      1.033932      0.000000      1.033932
    -53.196139      0.185600      0.000000      0.185600
    -53.093046      0.020346      0.000000      0.020346
    -52.989953      0.001347      0.000000      0.001347
    -52.886859      0.000054      0.000000      0.000054
    -52.783766      0.000001      0.000000      0.000001
    -52.680673      0.000000      0.000000      0.000000
    -52.577580      0.000000      0.000000      0.000000
    -52.474487      0.000000      0.000000      0.000000
    -52.371393      0.000000      0.000000      0.000000
    -52.268300      0.000000      0.000000      0.000000
    -52.165207      0.000000      0.000000      0.000000
    -52.062114      0.000000      0.000010      0.000010
    -51.959021      0.000000      0.000283      0.000283
    -51.855927      0.000000      0.005049      0.005049
    -51.752834      0.000000      0.054866      0.054866
    -51.649741      0.000000      0.367103      0.367103
    -51.546648      0.000000      1.539774      1.539774
    -51.443554      0.000000      4.186965      4.186965
    -51.340461      0.000000      7.836089      7.836089
    -51.237368      0.000000     10.975399     10.975399
    -51.134275      0.000000     12.230949     12.230949
